# Guarantees the templates pin, one per line, read by both consumers:
#   skills/setup-agent-ready-repo/scripts/install-templates.sh --check
#   evals/setup-agent-ready-repo/graders/documents.sh
#
# Tab-separated. TSV rather than JSON because --check runs in whatever repo the
# skill was pointed at, where jq is not guaranteed to exist.
#
# document  the installed file: issue-tracker, request (pull-request.md or
#           merge-request.md, whichever the forge got), or verification
# name      what a developer reads when it is missing
# pattern   case-insensitive extended regex, matched against the whole file
# origin    where in the template it comes from, so an agent can read the
#           original and adapt it to this repo
#
# A guarantee belongs here when the template pins it for every repo. A fact
# that varies by forge, by task, or by the language answer stays in the grader,
# which knows what it asked for.
#
# document	name	pattern	origin
issue-tracker	the language tickets are written in	write [^.]*(titles|descriptions)	issue-tracker.md, opening paragraph
issue-tracker	the CLI conventions for issue operations	issue (create|view|list)	issue-tracker.md, Conventions
issue-tracker	the collapsed technical section	<details>	issue-tracker.md, Description shape
issue-tracker	the shape of an issue an agent implements from	acceptance criteria	issue-tracker.md, Spec issues
issue-tracker	the rule against personally identifiable information	personally identifiable|\bPII\b	issue-tracker.md, below Description shape
issue-tracker	labels read from the forge rather than invented	label list	issue-tracker.md, Labels
request	the language requests are written in	write [^.]*(titles|descriptions)	pull-request.md, opening paragraph
request	commit messages staying English	commit[^.]*english|english[^.]*commit	pull-request.md, opening paragraph
request	which diagram belongs to which change	mermaid|flowchart|sequencediagram|erdiagram	pull-request.md, Description shape
request	the rule against personally identifiable information	personally identifiable|\bPII\b	pull-request.md, Description shape
request	the paths exempt from landing with tests	exempt	pull-request.md, Tests land with the behaviour
request	the draft-first order for deployed verification	draft	pull-request.md, Review readiness
request	that a request is opened only when asked for	developer ask	pull-request.md, Preparing
verification	the entrypoint marker check-drift.sh reads	drift:entrypoint	verification.md, Starting the environment
verification	the forge marker check-drift.sh reads	drift:forge	verification.md, Starting the environment
verification	the proof that the entrypoint came up	proof it ran	verification.md, Starting the environment
verification	the prerequisites only a human can meet	human prerequisites	verification.md, Human prerequisites
verification	what could not be verified, and why	not verified|unverified|could not be verified	verification.md, Not verified
verification	the capture rules the request document points at	capture rules|capturing evidence	verification.md, Capturing evidence
